film	tomatoScore	audienceScore	nominee	oscar	year
Ratatouille	97	84	x	Animated	2007
There Will Be Blood	91	84	x	Best Actor	2007
No Country for Old Men	95	84	x	Best Picture, Director, Supporting Actor, Adapted Screenplay	2007
Juno	94	89	x	Original Screenplay	2007
Michael Clayton	90	72	x	Supporting Actress	2007
Sweeney Todd: The Demon Barber of Fleet Street	86	81	x		2007
Into the Wild	82	90	x		2007
Charlie Wilson's War	82	73	x		2007
American Gangster	79	87	x		2007
Surf's Up	78	64	x		2007
The Bourne Ultimatum	93	91			2007
Enchanted	93	80			2007
Sicko	93	87			2007
Hairspray	92	84			2007
Knocked Up	91	83			2007
The Simpsons Movie	90	78			2007
Waitress	89	67			2007
Zodiac	89	73			2007
Superbad	88	87			2007
3:10 to Yuma	88	85			2007
Grindhouse	82	86			2007
Live Free or Die Hard	79	86			2007
Harry Potter and the Order of the Phoenix	78	82			2007
Stardust	76	86			2007
Walk Hard: The Dewey Cox Story	75	55			2007
The Mist	72	64			2007
Beowulf	71	52			2007
Ocean's 13	70	74			2007
I Am Legend	69	69			2007
Blades of Glory	69	66			2007
Disturbia	67	75			2007
The Darjeeling Limited	67	79			2007
Shoot 'Em Up	67	66			2007
The Kite Runner	66	85			2007
Meet the Robinsons	66	75			2007
Music and Lyrics	63	70			2007
Spider-Man 3	61	54			2007
300	60	90			2007
Transformers	57	89			2007
Mr. Brooks	56	75			2007
We Own the Night	55	63			2007
Vacancy	55	46			2007
Across the Universe	54	84			2007
Bee Movie	52	57			2007
The Kingdom	52	78			2007
30 Days of Night	50				2007
Nancy Drew	49	61			2007
Shooter	47	82			2007
Tyler Perry's Why Did I get Married	46	47			2007
Pirates of the Caribbean: At World's End	45	74			2007
Hostel: Part II	44	45			2007
In the Land of Women	43	72			2007
The Brave One	43	65			2007
Shrek the Third	42	57			2007
The Golden Compass	42	55			2007
The Bucket List	41	81			2007
No Reservations	39	64			2007
Mr. Magorium's Wonder Emporium	36	56			2007
Fantastic Four: Rise of the Silver Surfer	35	55			2007
TMNT	33	63			2007
The Nanny Diaries	33	52			2007
